Date,Pageviews,Clicks,Enrollments,Payments
"Sat, Oct 11",7723.00,687.00,134.00,70.00
"Sun, Oct 12",9102.00,779.00,147.00,70.00
"Mon, Oct 13",10511.00,909.00,167.00,95.00
"Tue, Oct 14",9871.00,836.00,156.00,105.00
"Wed, Oct 15",10014.00,837.00,163.00,64.00
"Thu, Oct 16",9670.00,823.00,138.00,82.00
"Fri, Oct 17",9008.00,748.00,146.00,76.00
"Sat, Oct 18",7434.00,632.00,110.00,70.00
"Sun, Oct 19",8459.00,691.00,131.00,60.00
"Mon, Oct 20",10667.00,861.00,165.00,97.00
"Tue, Oct 21",10660.00,867.00,196.00,105.00
"Wed, Oct 22",9947.00,838.00,162.00,92.00
"Thu, Oct 23",8324.00,665.00,127.00,56.00
"Fri, Oct 24",9434.00,673.00,220.00,122.00
"Sat, Oct 25",8687.00,691.00,176.00,128.00
"Sun, Oct 26",8896.00,708.00,161.00,104.00
"Mon, Oct 27",9535.00,759.00,233.00,124.00
"Tue, Oct 28",9363.00,736.00,154.00,91.00
"Wed, Oct 29",9327.00,739.00,196.00,86.00
"Thu, Oct 30",9345.00,734.00,167.00,75.00
"Fri, Oct 31",8890.00,706.00,174.00,101.00
"Sat, Nov 1",8460.00,681.00,156.00,93.00
"Sun, Nov 2",8836.00,693.00,206.00,67.00
"Mon, Nov 3",9437.00,788.00,,
"Tue, Nov 4",9420.00,781.00,,
"Wed, Nov 5",9570.00,805.00,,
"Thu, Nov 6",9921.00,830.00,,
"Fri, Nov 7",9424.00,781.00,,
"Sat, Nov 8",9010.00,756.00,,
"Sun, Nov 9",9656.00,825.00,,
"Mon, Nov 10",10419.00,874.00,,
"Tue, Nov 11",9880.00,830.00,,
"Wed, Nov 12",10134.00,801.00,,
"Thu, Nov 13",9717.00,814.00,,
"Fri, Nov 14",9192.00,735.00,,
"Sat, Nov 15",8630.00,743.00,,
"Sun, Nov 16",8970.00,722.00,,